vector_id,N_ANC,N_AFR,N_EUR,N_ADMIX,ADMIX_TIME,p_AFR,SPLIT_TIME,p_EUR,likelihood,posterior
158,7935,21605,7386,7168,11,0.786066993757516,2000,0.21393300624248401,0.0,0.0
159,9271,24097,6294,8493,10,0.7483677342510282,2000,0.2516322657489718,0.0,0.0
160,12336,13462,6021,8898,10,0.7419078088842822,2000,0.2580921911157178,0.0,0.0
161,10013,21544,6999,5684,8,0.7810435526056819,2000,0.21895644739431808,0.0,0.0
162,8379,27110,10037,11398,10,0.7697830156899771,2000,0.2302169843100229,0.0,0.0
163,7540,27445,11898,8676,9,0.7806735327910299,2000,0.2193264672089701,0.0,0.0
164,9174,27138,10251,11682,10,0.8101354464427815,2000,0.18986455355721854,0.0,0.0
165,10055,15311,7270,10101,10,0.8424163816258649,2000,0.15758361837413515,0.04,0.001839926402943882
166,9933,12702,9104,11460,10,0.7208928959954322,2000,0.27910710400456784,0.0,0.0
167,8636,20922,8112,10060,11,0.7616471059043193,2000,0.23835289409568072,0.0,0.0
168,9552,11738,10284,8342,9,0.7751742083840946,2000,0.22482579161590543,0.0,0.0
169,11412,15425,12872,11604,11,0.7561758898507241,2000,0.24382411014927585,0.0,0.0
170,9259,21999,14709,13024,10,0.7635626843590746,2000,0.2364373156409254,0.0,0.0
171,8334,18364,9491,7963,10,0.7491325083052972,2000,0.2508674916947028,0.0,0.0
172,8629,23107,8759,10090,10,0.7617735971142705,2000,0.2382264028857295,0.0,0.0
173,10943,14737,9198,9001,8,0.7722055440811627,2000,0.2277944559188373,0.0,0.0
174,8362,16385,8093,12799,10,0.8456879116453143,2000,0.15431208835468568,0.02,0.000919963201471941
175,11361,15688,8961,8739,11,0.8443483389756818,2000,0.15565166102431816,0.07,0.003219871205151794
176,10076,25613,11194,9449,8,0.8513257179421345,2000,0.14867428205786548,0.06,0.002759889604415823
177,10408,19139,10116,9665,10,0.8389967258723536,2000,0.16100327412764637,0.01,0.0004599816007359705
178,9930,12405,13607,11810,10,0.7359962984697882,2000,0.2640037015302118,0.0,0.0
179,11257,19350,11967,6646,10,0.8207345815977442,2000,0.17926541840225585,0.0,0.0
180,11757,22684,10215,5875,9,0.7926909606972015,2000,0.20730903930279854,0.0,0.0
181,11281,14238,6431,10414,11,0.773860212600611,2000,0.226139787399389,0.0,0.0
182,12207,19174,5961,12157,11,0.7263509100572201,2000,0.2736490899427799,0.0,0.0
183,9629,15753,9852,11751,9,0.8070712892825653,2000,0.19292871071743467,0.0,0.0
184,9391,13162,8768,14313,10,0.8854266464039698,2000,0.11457335359603016,0.71,0.032658693652253906
185,9989,15742,8645,12855,12,0.7585287010615728,2000,0.24147129893842723,0.0,0.0
